FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
19-339	Coronation chicken	Coronation chicken	A0715 A0799 B1457 C0267 E0134 F0014 G0003 H0151 H0185 H0200 H0263 H0306 J0003 K0003 M0003 N0001 P0024 R0001 Z0054	
19-390	Coronation chicken, reduced fat	Coronation chicken, reduced fat		
12-148	Cottage cheese, plain, with additions	Cottage cheese, plain, with additions	A0720 A0786 B1201 C0245 E0144 F0001 G0003 H0101 H0147 J0104 J0131 J0151 K0003 M0001 N0001 P0024 R0001	
19-391	Cottage pie, homemade	Cottage pie, homemade		
19-216	Cottage/Shepherd's pie, chilled/frozen, reheated	Cottage/Shepherd's pie, chilled/frozen, reheated	A0714 A0799 B1218 C0240 E0134 F0014 G0037 H0117 H0191 H0241 J0142 K0003 M0001 N0001 P0024 Z0112	
19-215	Cottage/Shepherd's pie, homemade	Cottage/Shepherd's pie, homemade		
17-034	Cottonseed oil	Cottonseed oil	A0700 A0806 B1210 C0307 E0139 F0014 G0003 H0197 H0206 J0003 K0003 M0001 N0001 P0024	
13-231	Courgette, boiled in unsalted water	Courgette, boiled in unsalted water	A0705 A0825 B1462 C0140 E0150 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
17-413	Courgette, dried	Courgette, dried		
13-415	Courgette, fried in blended oil	Courgette, fried in blended oil	A0705 A0825 B1462 C0140 E0137 F0014 G0035 H0334 J0001 K0003 M0001 N0001 P0024	
13-414	Courgette, fried in butter	Courgette, fried in butter	A0705 A0825 B1462 C0140 E0137 F0014 G0035 H0335 J0001 K0003 M0001 N0001 P0024	
13-232	Courgette, fried in corn oil	Courgette, fried in corn oil	A0705 A0825 B1462 C0140 E0137 F0014 G0035 H0334 J0001 K0003 M0001 N0001 P0024	
13-230	Courgette, raw	Courgette, raw	A0705 A0825 B1462 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
15-446	Courgettes with eggs	Courgettes with eggs		
11-339	Couscous	Couscous		
12-052	Cow & Gate Plus	Cow & Gate Plus		
12-053	Cow & Gate Plus, reconstituted	Cow & Gate Plus, reconstituted		
12-046	Cow & Gate Premium	Cow & Gate Premium		
12-047	Cow & Gate Premium, reconstituted	Cow & Gate Premium, reconstituted		
16-331	Crab, boiled	Crab, boiled	A0717 A0802 B1960 C0125 E0122 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 Z0062	
16-342	Crab, boiled, weighed with shell	Crab, boiled, weighed with shell	A0717 A0802 B1960 C0125 E0122 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024 Z0062	
16-234	Crab, canned in brine, drained	Crab, canned in brine, drained	A0717 A0802 B1960 C0268 E0122 F0014 G0003 H0001 J0123 K0018 M0204 N0001 P0024 Z0056 Z0219	
16-273	Crabsticks	Crabsticks	A0717 A0803 B1365 C0175 E0147 F0014 G0003 H0117 H0153 J0001 K0003 M0001 N0001 P0024	
14-073	Cranberries	Cranberries		
17-537	Cranberry juice	Cranberry juice	A0708 A0841 B1508 C0167 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0105	
17-296	Cranberry sauce	Cranberry sauce		
16-235	Crayfish, raw	Crayfish, raw		
11-510	Cream crackers	Cream crackers	A0695 A0821 B1312 C0132 E0140 F0014 G0003 H0263 H0351 H0367 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-654	Cream horns	Cream horns		
17-242	Cream liqueurs	Cream liqueurs	A0713 A0850 B1201 C0123 E0102 F0001 G0003 H0117 H0160 J0001 K0003 M0214 N0001 P0024	
17-358	Cream of tartar	Cream of tartar		
12-337	Cream, dairy, extra thick	Cream, dairy, extra thick	A0721 A0782 B1201 C0160 E0144 F0018 G0003 H0164 J0131 J0135 K0003 M0001 N0001 P0024 P0040 P0059 R0001	
12-338	Cream, dairy, UHT, canned spray	Cream, dairy, UHT, canned spray	A0721 A0782 B1201 C0160 E0144 F0014 G0003 H0158 J0148 K0015 M0001 N0001 P0024 R0001 Z0112	
12-339	Cream, dairy, UHT, canned spray, half fat	Cream, dairy, UHT, canned spray, half fat	A0721 A0782 B1201 C0160 E0144 F0014 G0003 H0158 H0324 J0148 K0015 M0001 N0001 P0024 R0001 Z0112	
12-117	Cream, fresh, clotted	Cream, fresh, clotted	A0721 A0782 B1201 C0161 E0119 F0018 G0003 H0003 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
12-334	Cream, fresh, double, including Jersey cream	Cream, fresh, double, including Jersey cream	A0721 A0782 B1201 C0161 E0119 F0018 G0003 H0003 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
12-112	Cream, fresh, half	Cream, fresh, half		
12-332	Cream, fresh, single	Cream, fresh, single	A0721 A0782 B1201 C0160 E0123 F0018 G0003 H0003 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
12-114	Cream, fresh, soured	Cream, fresh, soured	A0721 A0782 B1201 C0160 E0135 F0018 G0003 H0101 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
12-333	Cream, fresh, whipping	Cream, fresh, whipping	A0721 A0782 B1201 C0161 E0144 F0018 G0003 H0358 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
12-118	Cream, frozen, single	Cream, frozen, single		
12-119	Cream, frozen, whipping	Cream, frozen, whipping		
12-120	Cream, sterilised, canned	Cream, sterilised, canned	A0721 A0782 B1201 C0160 E0102 F0014 G0003 H0003 J0123 K0003 M0204 N0001 P0024 R0001 Z0112	
12-121	Cream, UHT, half	Cream, UHT, half		
12-122	Cream, UHT, single	Cream, UHT, single		
12-123	Cream, UHT, whipping	Cream, UHT, whipping		
12-453	Crème caramel, homemade	Crème caramel, homemade		
12-397	Creme caramel, retail	Creme caramel, retail	A0721 A0864 B1201 C0235 E0119 F0001 G0003 H0158 H0186 J0142 K0003 M0001 N0001 P0024 R0001 Z0112	
17-544	Creme egg	Creme egg	A0698 A0838 B1012 C0108 E0147 F0014 G0003 H0150 H0207 H0227 H0231 H0263 H0297 H0355 J0001 K0003 M0173 N0001 P0024 R0001	
12-335	Creme fraiche	Creme fraiche	A0721 A0783 B1201 C0161 E0119 F0018 G0003 H0101 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
12-336	Creme fraiche, half fat	Creme fraiche, half fat	A0721 A0783 B1201 C0160 E0103 F0018 G0003 H0101 H0325 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
11-511	Crispbread, rye	Crispbread, rye	A0695 A0819 B1313 C0133 E0140 F0014 G0003 H0138 H0366 H0752 H0758 J0116 K0003 M0001 N0001 P0024 R0001	
11-576	Crispie cakes	Crispie cakes	A0695 A0821 B1318 C0158 E0147 F0014 G0003 H0319 H0321 J0003 K0003 M0001 N0001 P0024 R0001	
11-480	Croissants	Croissants	A0691 A0821 B1312 C0132 E0105 F0014 G0005 H0259 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-401	Croissants, savoury, retail	Croissants, savoury, retail		
11-402	Croissants, sweet, retail	Croissants, sweet, retail		
11-694	Crumble, apple	Crumble, apple		
11-695	Crumble, fruit	Crumble, fruit	A0695 A0864 B1140 C0167 E0144 F0014 G0005 H0136 H0272 H0319 J0003 K0003 M0001 N0001 P0024 R0001	
11-546	Crumble, fruit, retail	Crumble, fruit, retail	A0695 A0864 B1140 C0167 E0144 F0014 G0005 H0136 H0150 H0221 H0227 H0319 J0142 K0003 M0001 N0001 P0024 R0001 Z0112	
11-595	Crumble, fruit, wholemeal	Crumble, fruit, wholemeal	A0695 A0864 B1140 C0167 E0144 F0014 G0005 H0136 H0272 H0319 J0003 K0003 M0001 N0001 P0024 R0001	
15-447	Crumble, vegetable in milk base	Crumble, vegetable in milk base		
15-448	Crumble, vegetable in milk base, wholemeal	Crumble, vegetable in milk base, wholemeal		
15-449	Crumble, vegetable in tomato base	Crumble, vegetable in tomato base		
15-450	Crumble, vegetable in tomato base, wholemeal	Crumble, vegetable in tomato base, wholemeal		
11-693	Crumble, with pie filling	Crumble, with pie filling		
11-535	Crumpets, toasted	Crumpets, toasted	A0691 A0821 B1312 C0132 E0105 F0014 G0010 H0154 H0200 H0259 H0351 H0753 J0100 K0003 M0001 N0001 P0024 R0001	
11-520	Crunch biscuits, cream filled	Crunch biscuits, cream filled	A0695 A0821 B1012 C0108 E0105 F0014 G0003 H0227 H0263 H0317 H0319 J0001 K0003 M0001 N0001 P0024 R0001	
11-491	Crunchy Nut Corn Flakes	Crunchy Nut Corn Flakes	A0692 A0816 B1379 C0155 E0153 F0014 G0003 H0124 H0136 H0138 H0149 H0156 H0181 H0194 H0216 H0274 H0309 H0310 H0311 H0361 H0367 J0116 K0003 M0155 N0001 P0024 R0001	
11-403	Crunchy Oat Cereal	Crunchy Oat Cereal		
13-233	Cucumber, raw	Cucumber, raw	A0705 A0826 B1404 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
13-820	Cumin seeds	Cumin seeds		
50-1121	Curacao	Curacao		
13-235	Curly kale, boiled in salted water	Curly kale, boiled in salted water	A0705 A0826 B1281 C0200 E0152 F0014 G0015 H0003 J0001 K0003 M0001 N0001 P0024	
13-234	Curly kale, raw	Curly kale, raw	A0705 A0826 B1281 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
11-076	Currant bread	Currant bread	A0691 A0821 B1312 C0132 E0147 F0014 G0003 H0256 H0259 H0364 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
11-077	Currant bread, toasted	Currant bread, toasted		
11-536	Currant buns	Currant buns	A0691 A0821 B1312 C0132 E0105 F0014 G0003 H0136 H0186 H0259 H0364 H0753 J0001 K0003 M0001 N0001 P0024 R0001	
14-074	Currants	Currants	A0707 A0834 B1528 C0140 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
13-821	Curry leaves, fresh	Curry leaves, fresh		
17-297	Curry paste	Curry paste		
13-822	Curry powder	Curry powder	A0722 A0857 B1381 C0167 E0106 F0001 G0003 H0138 H0151 J0116 K0003 M0001 N0001 P0024	
13-823	Curry powder, mixed flavours	Curry powder, mixed flavours		
17-298	Curry sauce, canned	Curry sauce, canned	A0722 A0862 B1579 C0174 E0102 F0014 G0001 H0117 H0158 J0123 K0003 M0204 N0001 P0024 R0001	
15-451	Curry, almond	Curry, almond		
15-452	Curry, aubergine	Curry, aubergine		
15-453	Curry, black gram dahl	Curry, black gram dahl		
15-456	Curry, black gram, whole and red kidney bean	Curry, black gram, whole and red kidney bean		
15-454	Curry, black gram, whole, Bengali	Curry, black gram, whole, Bengali		
15-455	Curry, black gram, whole, Gujerati	Curry, black gram, whole, Gujerati		
15-457	Curry, black-eye bean, Gujerati	Curry, black-eye bean, Gujerati		
15-095	Curry, black-eye bean, Punjabi	Curry, black-eye bean, Punjabi		
15-458	Curry, Bombay potato	Curry, Bombay potato		
15-459	Curry, cabbage	Curry, cabbage		
15-460	Curry, cauliflower and potato	Curry, cauliflower and potato		
15-371	Curry, chick pea dahl	Curry, chick pea dahl	A0704 A0832 B1172 C0133 E0134 F0014 G0020 G0026 H0151 H0349 H0350 J0001 K0003 M0001 N0001 P0024 R0001	
15-461	Curry, chick pea dahl and spinach, with butter	Curry, chick pea dahl and spinach, with butter		
15-462	Curry, chick pea dahl and spinach, with vegetable oil	Curry, chick pea dahl and spinach, with vegetable oil		
15-463	Curry, chick pea, whole	Curry, chick pea, whole		
15-465	Curry, chick pea, whole and potato	Curry, chick pea, whole and potato		
15-466	Curry, chick pea, whole and tomato, Gujerati, with butter ghee	Curry, chick pea, whole and tomato, Gujerati, with butter ghee		
15-467	Curry, chick pea, whole and tomato, Gujerati, with vegetable oil	Curry, chick pea, whole and tomato, Gujerati, with vegetable oil		
15-107	Curry, chick pea, whole and tomato, Punjabi, with butter	Curry, chick pea, whole and tomato, Punjabi, with butter		
15-108	Curry, chick pea, whole and tomato, Punjabi, with vegetable oil	Curry, chick pea, whole and tomato, Punjabi, with vegetable oil		
15-464	Curry, chick pea, whole, basic	Curry, chick pea, whole, basic		
15-468	Curry, courgette and potato	Curry, courgette and potato		
15-471	Curry, dudhi, kofta	Curry, dudhi, kofta		
15-474	Curry, egg and potato	Curry, egg and potato		
15-613	Curry, egg, in sweet sauce	Curry, egg, in sweet sauce		
15-472	Curry, egg, with butter	Curry, egg, with butter		
15-473	Curry, egg, with vegetable oil	Curry, egg, with vegetable oil		
16-348	Curry, fish and vegetable, Bangladeshi	Curry, fish and vegetable, Bangladeshi		
16-336	Curry, fish, Bangladeshi	Curry, fish, Bangladeshi	A0717 A0804 B2431 C0175 E0110 F0014 G0020 G0026 H0151 H0212 J0001 K0003 M0003 N0001 P0024 R0001	
15-115	Curry, gobi aloo sag, retail	Curry, gobi aloo sag, retail		
15-475	Curry, green bean	Curry, green bean		
16-349	Curry, haddock, Bengali	Curry, haddock, Bengali		
16-350	Curry, herring, Bengali	Curry, herring, Bengali		
15-476	Curry, karela	Curry, karela		
15-483	Curry, lentil, red/masoor dahl and mung bean dahl	Curry, lentil, red/masoor dahl and mung bean dahl		
15-482	Curry, lentil, red/masoor dahl and tomato, Punjabi	Curry, lentil, red/masoor dahl and tomato, Punjabi		
15-480	Curry, lentil, red/masoor dahl and tomato, with butter	Curry, lentil, red/masoor dahl and tomato, with butter		
15-481	Curry, lentil, red/masoor dahl and tomato, with vegetable oil	Curry, lentil, red/masoor dahl and tomato, with vegetable oil		
15-484	Curry, lentil, red/masoor dahl and vegetable	Curry, lentil, red/masoor dahl and vegetable		
15-125	Curry, lentil, red/masoor dahl, mung bean dahl and tomato	Curry, lentil, red/masoor dahl, mung bean dahl and tomato		
15-479	Curry, lentil, red/masoor dahl, Punjabi	Curry, lentil, red/masoor dahl, Punjabi		
15-477	Curry, lentil, red/masoor dahl, with butter	Curry, lentil, red/masoor dahl, with butter		
15-478	Curry, lentil, red/masoor dahl, with vegetable oil	Curry, lentil, red/masoor dahl, with vegetable oil		
15-485	Curry, lentil, whole/masoor, Gujerati	Curry, lentil, whole/masoor, Gujerati		
15-486	Curry, lentil, whole/masoor, Punjabi	Curry, lentil, whole/masoor, Punjabi		
15-488	Curry, mung bean dahl and spinach	Curry, mung bean dahl and spinach		
15-132	Curry, mung bean dahl and tomato	Curry, mung bean dahl and tomato		
15-487	Curry, mung bean dahl, Bengali	Curry, mung bean dahl, Bengali		
15-130	Curry, mung bean dahl, Punjabi	Curry, mung bean dahl, Punjabi		
15-491	Curry, mung bean, whole and turnip leaves	Curry, mung bean, whole and turnip leaves		
15-489	Curry, mung bean, whole, Gujerati	Curry, mung bean, whole, Gujerati		
15-490	Curry, mung bean, whole, Punjabi	Curry, mung bean, whole, Punjabi		
15-492	Curry, okra	Curry, okra		
15-493	Curry, pea and potato	Curry, pea and potato		
15-496	Curry, pigeon pea dahl and tomato	Curry, pigeon pea dahl and tomato		
15-497	Curry, pigeon pea dahl with tomatoes and peanuts	Curry, pigeon pea dahl with tomatoes and peanuts		
15-494	Curry, pigeon pea dahl, with butter	Curry, pigeon pea dahl, with butter		
15-495	Curry, pigeon pea dahl, with vegetable oil	Curry, pigeon pea dahl, with vegetable oil		
15-500	Curry, potato and pea	Curry, potato and pea		
15-498	Curry, potato, Gujerati	Curry, potato, Gujerati		
15-499	Curry, potato, Punjabi	Curry, potato, Punjabi		
16-351	Curry, prawn and mushroom	Curry, prawn and mushroom		
16-333	Curry, prawn, takeaway	Curry, prawn, takeaway	A0717 A0804 B1237 C0175 E0110 F0014 G0001 H0151 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
15-502	Curry, red kidney and mung bean, whole	Curry, red kidney and mung bean, whole		
15-501	Curry, red kidney bean, Gujerati	Curry, red kidney bean, Gujerati		
15-146	Curry, red kidney bean, Punjabi	Curry, red kidney bean, Punjabi		
15-503	Curry, spinach	Curry, spinach		
15-504	Curry, spinach and potato	Curry, spinach and potato		
15-505	Curry, tinda gourd and potato	Curry, tinda gourd and potato		
15-506	Curry, vegetable, frozen mixed vegetables	Curry, vegetable, frozen mixed vegetables		
15-612	Curry, vegetable, in sweet sauce	Curry, vegetable, in sweet sauce		
15-507	Curry, vegetable, Islami	Curry, vegetable, Islami		
15-508	Curry, vegetable, Pakistani	Curry, vegetable, Pakistani		
15-155	Curry, vegetable, retail, with rice	Curry, vegetable, retail, with rice	A0705 A0828 B1322 C0155 E0108 F0014 G0001 H0151 H0212 J0001 K0003 M0001 N0001 P0024 R0001 Z0112	
15-156	Curry, vegetable, takeaway	Curry, vegetable, takeaway		
15-509	Curry, vegetable, West Indian	Curry, vegetable, West Indian		
15-510	Curry, vegetable, with yogurt	Curry, vegetable, with yogurt		
14-075	Custard apple/Bullock's heart	Custard apple/Bullock's heart		
14-076	Custard apple/Sugar apple	Custard apple/Sugar apple		
11-013	Custard powder	Custard powder	A0693 A0813 B1379 C0155 E0106 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024 R0001	
11-655	Custard tart, large	Custard tart, large		
11-537	Custard tarts, individual	Custard tarts, individual	A0695 A0821 B1201 C0235 E0105 F0014 G0003 H0136 H0186 H0297 H0319 J0001 K0003 M0001 N0001 P0024 R0001	
12-421	Custard, confectioners'	Custard, confectioners'		
12-454	Custard, egg	Custard, egg		
12-413	Custard, made up with semi-skimmed milk	Custard, made up with semi-skimmed milk	A0719 A0863 B1201 C0235 E0123 F0018 G0001 H0158 H0320 H0325 J0135 K0003 M0001 N0001 P0024 R0001	
12-423	Custard, made up with skimmed milk	Custard, made up with skimmed milk		
12-412	Custard, made up with whole milk	Custard, made up with whole milk	A0719 A0863 B1201 C0235 E0123 F0018 G0001 H0158 H0320 J0135 K0003 M0001 N0001 P0024 R0001	
12-399	Custard, ready to eat	Custard, ready to eat	A0719 A0863 B1201 C0235 E0123 F0001 G0037 H0158 H0320 J0135 K0003 M0194 N0001 P0024 R0001	
16-254	Cuttlefish, raw	Cuttlefish, raw	A0717 A0802 B1644 C0173 E0122 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
16-038	Dab, raw	Dab, raw		
17-017	Dairy spread (40% fat)	Dairy spread (40% fat)	A0701 A0807 B1201 C0113 E0119 F0014 G0003 H0148 H0263 H0306 J0131 J0135 K0003 M0001 N0001 P0024	
15-511	Dal Dhokari	Dal Dhokari		
14-077	Damsons, raw	Damsons, raw	A0707 A0833 B1662 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-078	Damsons, raw, weighed with stones	Damsons, raw, weighed with stones		
14-079	Damsons, stewed with sugar	Damsons, stewed with sugar	A0707 A0834 B1662 C0139 E0150 F0014 G0020 H0148 H0158 J0001 K0003 M0001 N0001 P0024	
14-080	Damsons, stewed with sugar, weighed with stones	Damsons, stewed with sugar, weighed with stones		
14-081	Damsons, stewed without sugar	Damsons, stewed without sugar	A0707 A0834 B1662 C0139 E0150 F0014 G0020 H0148 J0001 K0003 M0001 N0001 P0024 P0091	
14-082	Damsons, stewed without sugar, weighed with stones	Damsons, stewed without sugar, weighed with stones		
11-538	Danish pastries	Danish pastries	A0695 A0821 B1312 C0132 E0105 F0014 G0003 H0136 H0184 H0186 H0221 H0259 H0751 J0001 K0003 M0001 N0001 P0024 R0001	
14-085	Dates, dried	Dates, dried	A0707 A0834 B1209 C0139 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
14-086	Dates, dried, weighed with stones	Dates, dried, weighed with stones		
14-083	Dates, raw	Dates, raw	A0707 A0833 B1209 C0139 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
14-084	Dates, raw, weighed with stones	Dates, raw, weighed with stones		
19-392	Devilled kidneys	Devilled kidneys		
11-512	Digestive biscuits, chocolate	Digestive biscuits, chocolate	A0695 A0821 B1312 C0155 E0140 F0014 G0003 H0136 H0231 H0263 H0355 J0001 K0003 M0001 N0001 P0024 R0001	
11-513	Digestive biscuits, plain	Digestive biscuits, plain	A0695 A0821 B1312 C0155 E0140 F0014 G0003 H0136 H0263 J0001 K0003 M0001 N0001 P0024 R0001	
13-826	Dill seeds	Dill seeds		
13-825	Dill, dried	Dill, dried		
13-824	Dill, fresh	Dill, fresh	A0722 A0857 B1277 C0167 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
17-299	Dips, sour-cream based	Dips, sour-cream based	A0721 A0858 B1201 C0160 E0135 F0001 G0003 H0101 H0117 H0263 J0131 J0135 K0003 M0001 N0001 P0024 R0001	
19-130	Doner kebab in pitta bread with salad	Doner kebab in pitta bread with salad	A0714 A0799 B1669 C0267 E0108 F0023 G0006 H0207 H0212 H0319 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
19-129	Doner kebabs, meat only	Doner kebabs, meat only	A0714 A0794 B1669 C0267 E0137 F0014 G0006 H0001 J0001 K0003 M0001 N0001 P0024 R0001 Z0119	
15-513	Dosa, filling, vegetable	Dosa, filling, vegetable		
15-512	Dosa, plain	Dosa, plain		
11-656	Doughnuts, custard-filled	Doughnuts, custard-filled		
11-242	Doughnuts, jam	Doughnuts, jam	A0695 A0821 B1312 C0132 E0105 F0014 G0003 H0122 H0136 H0207 H0221 H0259 H0751 J0001 K0003 M0001 N0001 P0024 R0001	
11-539	Doughnuts, ring	Doughnuts, ring	A0695 A0821 B1312 C0132 E0105 F0014 G0003 H0136 H0221 H0259 H0751 J0001 K0003 M0001 N0001 P0024 R0001	
11-244	Doughnuts, ring, iced	Doughnuts, ring, iced		
16-039	Dover sole, raw	Dover sole, raw		
17-176	Dr Pepper	Dr Pepper		
12-228	Dream Topping	Dream Topping	A0722 A0863 B1017 C0165 E0106 F0001 G0003 H0138 H0158 H0169 H0174 H0317 J0116 K0003 M0197 N0001 P0024 R0001	
12-426	Dream Topping, made up with semi-skimmed milk	Dream Topping, made up with semi-skimmed milk	A0721 A0863 B1201 C0235 E0119 F0001 G0003 H0158 H0247 H0259 H0263 H0317 H0358 J0001 K0003 M0001 N0001 P0024 R0001	
12-425	Dream Topping, made up with skimmed milk	Dream Topping, made up with skimmed milk	A0721 A0863 B1201 C0235 E0119 F0001 G0003 H0158 H0248 H0259 H0263 H0317 H0358 J0001 K0003 M0001 N0001 P0024 R0001	
12-424	Dream Topping, made up with whole milk	Dream Topping, made up with whole milk	A0721 A0863 B1201 C0235 E0119 F0001 G0003 H0158 H0259 H0263 H0317 H0358 J0001 K0003 M0001 N0001 P0024 R0001	
17-300	Dressing, blue cheese	Dressing, blue cheese	A0722 A0859 B1017 C0190 E0135 F0014 G0003 H0143 H0200 H0227 J0001 K0003 M0001 N0001 P0024	
17-301	Dressing, 'fat free'	Dressing, 'fat free'		
17-509	Dressing, French	Dressing, French	A0722 A0859 B1017 C0190 E0135 F0014 G0003 H0200 H0227 J0001 K0003 M0001 N0001 P0024	
17-538	Dressing, French, fat free	Dressing, French, fat free	A0722 A0859 B1347 C0174 E0135 F0014 G0003 H0150 H0158 H0200 H0227 J0001 K0003 M0001 N0001 P0024	
17-579	Dressing, French, homemade	Dressing, French, homemade		
17-304	Dressing, low fat	Dressing, low fat		
